,City,Temperature,Humidity,Cloud Cover (%),Wind Speed,Log,Lat
51,Souillac,71.98,83,75,11.5,57.5167,-20.5167
52,Walvis Bay,59.95,82,93,4.61,14.5053,-22.9575
53,Kirove,54.25,93,100,11.34,35.6951,47.6531
54,Padang,79.65,81,100,0.6,100.3543,-0.9492
55,Hualmay,61.75,85,26,9.73,-77.6139,-11.0964
56,Nome,30.27,70,0,29.93,-165.4064,64.5011
57,Rikitea,72.88,79,47,13.62,-134.9692,-23.1203
58,Berlevåg,30.0,80,100,7.02,29.0864,70.8578
59,Pakxan,81.72,64,51,3.65,103.6601,18.3778
60,Springdale,45.95,78,0,5.75,-94.1288,36.1867
61,Upernavik,23.72,95,100,5.55,-56.1549,72.7868
62,Bethel,64.78,89,100,1.01,-73.414,41.3712
63,Leiyang,79.84,30,13,0.69,112.8591,26.4024
64,Igarka,22.23,96,100,8.52,86.5833,67.4667
65,Chui,59.27,87,73,12.19,-53.4616,-33.6971
66,Port Hardy,46.58,93,75,2.3,-127.4199,50.6996
67,Hobart,57.29,98,75,17.27,147.3294,-42.8794
68,Ust'-Kulom,26.22,97,19,4.12,53.6902,61.6864
69,São João da Barra,70.16,88,1,7.87,-41.0511,-21.6403
70,Saint-Philippe,67.59,78,25,11.56,55.7679,-21.3585
71,Bhāndāria,75.33,81,0,3.15,90.0609,22.4861
72,Ahipara,65.46,56,64,8.72,173.1667,-35.1667
73,Siverek,57.63,32,98,3.85,39.3167,37.755
74,Arrondissement du Havre,60.19,82,0,9.22,0.3333,49.5833
75,Santa Cruz de Tenerife,69.78,81,0,10.36,-16.2546,28.4682
76,Mar del Plata,63.97,80,100,11.99,-57.5575,-38.0023
77,Pangody,17.89,90,79,9.64,74.4859,65.85
78,Atambua,84.58,61,100,4.32,124.8925,-9.1061
79,Chokurdakh,8.65,95,100,1.52,147.9167,70.6333
80,Senador José Porfírio,78.55,79,100,1.99,-51.9542,-2.5908
81,Otjimbingwe,74.97,32,97,1.59,16.1333,-22.35
82,Bariloche,51.55,58,40,14.97,-71.3082,-41.1456
83,Hithadhoo,81.93,76,82,12.68,73.0833,-0.6
84,San Miguel de Cozumel,81.19,86,40,5.75,-86.9458,20.5083
85,Pisco,60.85,88,0,18.41,-76.2167,-13.7
86,Muğla Province,53.53,36,0,3.53,28.3557,37.2303
87,Oranjemund,56.19,93,33,7.9,16.4333,-28.55
88,Nikolskoye,37.29,95,100,7.2,30.7861,59.7035
89,Albany,64.2,89,38,4.65,-73.9662,42.6001
90,Cabo San Lucas,79.11,65,0,11.5,-109.9124,22.8909
91,Iquitos,77.04,88,75,2.3,-73.2472,-3.7481
92,Zaraza,74.01,97,95,3.96,-65.3245,9.3503
93,Port Elizabeth,61.09,94,75,9.22,25.5701,-33.918
94,Sitka,44.49,70,100,8.05,-135.33,57.0531
95,Esperance,62.46,67,28,10.76,121.9,-33.8667
96,Aripuanã,72.27,96,93,2.04,-60.6333,-9.1667
97,Tuktoyaktuk,12.2,85,75,11.5,-133.0374,69.4541
98,Yellowknife,21.72,86,75,10.36,-114.3525,62.456
99,Leningradskiy,3.83,87,14,4.45,178.4167,69.3833
100,Mataura,51.48,97,100,4.41,168.8643,-46.1927
101,Klaksvík,47.32,92,79,8.93,-6.589,62.2266
102,Saldanha,55.45,89,10,10.29,17.9442,-33.0117
103,Lompoc,59.88,71,0,12.66,-120.4579,34.6391
104,Cidreira,65.57,84,2,23.06,-50.2056,-30.1811
105,Hearst,44.85,72,96,8.86,-83.6665,49.6835
106,Bousso,74.08,44,27,0.83,16.7117,10.4795
107,Zyryanka,20.28,83,94,5.03,150.85,65.75
108,Marsh Harbour,78.21,66,3,10.16,-77.0636,26.5412
109,Russell,67.96,94,75,4.61,-85.1999,32.3502
110,Alihe,36.5,36,100,9.33,123.7167,50.5667
111,Hong Kong,75.13,67,81,11.01,114.1577,22.2855
112,Alice Springs,85.55,26,4,12.66,133.8833,-23.7
113,Buhe,60.82,72,100,8.9,112.2298,30.2876
114,Narsaq,28.62,71,22,6.98,-46.05,60.9167
115,Hay River,33.78,93,100,4.61,-115.7999,60.8156
116,Vao,70.74,85,100,19.73,167.4833,-22.6667
117,Liberal,53.74,30,0,3.44,-100.921,37.0431
118,Viesca,72.32,31,0,3.51,-102.8,25.35
119,Sikeston,48.2,87,75,13.8,-89.5879,36.8767
120,Puerto Ayora,65.55,96,47,4.0,-90.3518,-0.7393
121,Quatre Cocos,72.09,81,9,10.54,57.7625,-20.2078
122,Chicama,59.54,82,71,5.48,-79.1469,-7.8447
123,Setermoen,17.56,65,94,3.15,18.3486,68.861
124,Samoylovka,32.13,84,18,6.76,43.7081,51.184
125,Carnarvon,70.65,50,0,21.09,113.6333,-24.8667
126,Kutum,64.65,26,0,10.18,24.6667,14.2
127,Matara,77.59,87,100,2.59,80.5353,5.9485
128,Husavik,36.52,95,100,6.6,-17.3389,66.0449
129,Am Timan,72.23,38,83,3.04,20.2827,11.0297
130,Kachug,29.12,52,23,2.68,105.8817,53.9606
131,Guisa,70.25,95,49,4.23,-76.5386,20.255
132,Onverwacht,77.0,94,20,1.14,-55.1833,5.5833
133,Tilichiki,32.63,83,100,23.17,166.1,60.4667
134,Nizhniy Tsasuchey,32.72,41,0,12.37,115.1333,50.5167
135,Felanitx,64.24,62,93,4.0,3.1483,39.4696
136,Tuatapere,52.11,94,100,7.27,167.6833,-46.1333
137,Cherskiy,4.21,89,100,4.99,161.3,68.75
138,Airai,74.8,53,100,1.23,125.4092,-8.9266
139,Talas,32.67,80,0,5.75,35.5538,38.6908
140,Khuzdar,66.58,23,0,6.46,66.6434,27.7384
141,Menongue,63.21,87,75,2.01,17.691,-14.6585
142,Kapaa,81.9,75,20,14.97,-159.319,22.0752
143,Tasiilaq,30.36,92,100,5.28,-37.6368,65.6145
144,Nuuk,30.81,93,40,10.36,-51.7216,64.1835
145,Avera,63.23,52,100,7.87,-82.5271,33.194
146,Batagay-Alyta,17.02,67,100,8.23,130.4114,67.8006
147,Koulikoro,78.8,26,3,5.95,-7.75,14.0
148,Flin Flon,22.96,97,100,4.16,-101.865,54.7682
149,Codrington,60.1,92,100,11.07,141.9667,-38.2667
150,São José da Coroa Grande,76.46,82,85,10.51,-35.1478,-8.8978
151,Kiunga,81.95,76,98,2.33,141.2906,-6.1219
152,Paraguaçu Paulista,69.24,57,0,12.57,-50.5758,-22.4128
153,Taksimo,24.58,58,63,1.79,114.8794,56.3444
154,Castro,58.96,94,47,9.66,-50.0119,-24.7911
155,Gushikawa,78.01,44,0,12.66,127.8686,26.3544
156,Nove Davydkovo,50.94,93,6,1.39,22.6216,48.4413
157,Alofi,78.69,53,75,12.66,-169.9187,-19.0595
158,Zalari,31.51,58,0,9.35,102.5065,53.5584
159,Banjar,86.04,65,92,5.23,114.9675,-8.19
160,Luwuk,88.54,58,99,5.39,122.7875,-0.9516
161,Kadom,33.19,87,27,4.97,42.4675,54.5592
162,Coquimbo,55.13,82,0,5.75,-71.3436,-29.9533
163,Dikson,23.94,76,100,0.27,80.5464,73.5069
164,Mwinilunga,61.0,77,62,3.4,24.4293,-11.7358
165,Nandi,62.2,67,6,1.79,77.6984,13.3855
166,Antalaha,68.56,83,1,3.91,50.2788,-14.9003
167,San Rafael,68.54,38,100,14.5,-68.3301,-34.6177
168,Morondava,74.37,83,54,4.59,44.2833,-20.2833
169,Lüderitz,61.81,63,76,11.39,15.1594,-26.6481
170,Honchō,55.63,44,20,2.3,140.6833,41.8833
171,Cayenne,78.84,89,0,1.14,-52.3333,4.9333
172,Bluff,51.8,90,100,10.18,168.3333,-46.6
173,Paamiut,31.01,56,100,3.38,-49.6678,61.994
174,Norman Wells,17.64,86,100,4.61,-126.8329,65.282
175,Rāzole,76.96,75,0,3.18,81.8333,16.4833
176,Saint Paul Harbor,45.91,87,20,6.91,-152.4072,57.79
177,Longyearbyen,12.04,79,20,10.36,15.6401,78.2186
178,Kirakira,85.01,74,27,5.46,161.9205,-10.4544
179,Salalah,75.29,69,0,4.61,54.0924,17.0151
180,Pevek,0.99,91,38,4.94,170.3133,69.7008
181,Juneau,35.28,89,40,4.61,-134.4197,58.3019
182,Nikol'sk,32.16,74,24,3.42,46.0712,53.7189
183,Vuktyl,20.16,97,93,4.21,57.3094,63.8567
184,Hambantota,77.34,100,40,2.3,81.1185,6.1241
185,Faya,55.92,71,0,2.64,42.4509,18.3851
186,Isangel,77.99,73,55,12.57,169.2667,-19.55
187,College,22.3,81,75,8.05,-147.8028,64.8569
188,Tonj,70.81,75,81,2.71,28.6822,7.2737
189,Seoul,54.81,54,0,4.61,126.9778,37.5683
190,Coyhaique,49.95,81,100,4.61,-72.0662,-45.5752
191,Omsukchan,13.78,77,3,7.0,155.8,62.5333
192,Del Rio,66.06,34,0,5.75,-100.8968,29.3627
193,Hasaki,61.2,63,83,28.81,140.8333,35.7333
194,Krasnorechenskiy,50.61,27,4,2.95,135.3532,44.6265
195,Puerto Escondido,79.97,86,60,2.62,-97.0667,15.85
196,Severnoye,31.01,76,100,6.78,78.3619,56.3491
197,Kisangani,69.84,99,100,2.01,25.2,0.5167
198,Khanbari,66.15,81,91,0.63,87.2039,27.3747
199,Kumul,53.55,31,100,2.95,93.45,42.8
200,Shimoda,62.1,51,0,13.49,138.95,34.6667
201,Talnakh,5.36,96,91,2.37,88.3972,69.4865
202,Villanueva,81.59,78,20,6.91,-88.0,15.3167
203,Maltahöhe,69.78,24,99,10.83,16.9833,-24.8333
204,Udachny,23.45,85,79,7.9,112.4,66.4167
205,Lavrentiya,27.45,77,59,13.24,-171.0,65.5833
206,Beni Mazar,66.0,81,9,5.44,30.8029,28.4962
207,Carutapera,79.36,75,99,7.43,-46.02,-1.195
208,Tomohon,79.74,64,90,2.48,124.8392,1.3346
209,Itarema,78.37,77,100,13.13,-39.9167,-2.9248
210,Sisimiut,25.03,78,97,8.75,-53.6735,66.9395
211,Mozarlândia,76.05,78,11,7.99,-50.5706,-14.7447
212,Miles City,45.57,70,100,10.36,-105.8406,46.4083
213,Deder,56.8,80,60,1.54,41.45,9.3167
214,Kerrville,57.63,39,0,0.0,-99.1403,30.0474
215,Mentougou,56.34,39,100,3.53,116.0917,39.9392
216,Hoa Binh,79.11,71,94,2.42,105.3383,20.8133
217,Sehore,62.87,51,0,2.37,77.0833,23.2
218,Port-Cartier,47.84,86,100,2.42,-66.8654,50.0334
219,Horgoš,53.26,87,1,2.77,19.9725,46.1556
220,Soyo,76.6,92,58,6.53,12.3689,-6.1349
221,Preobrazheniye,51.28,64,63,10.71,133.9064,42.9019
222,Lorengau,86.79,60,96,5.48,147.2712,-2.0226
223,Torbay,53.04,87,20,14.97,-52.7314,47.6666
224,Whitianga,59.47,68,100,5.64,175.7,-36.8333
225,Lázaro Cárdenas,79.81,85,40,5.37,-102.2,17.9583
226,Muros,66.79,77,96,18.34,-9.0603,42.7762
227,Ganta,72.97,79,96,1.23,-8.5308,7.3022
228,Nanortalik,33.39,73,3,2.73,-45.2371,60.1432
229,Atar,84.61,14,100,5.84,-13.0499,20.5169
230,Tocopilla,62.2,67,22,9.55,-70.1979,-22.092
231,Khanu Woralaksaburi,80.04,83,82,3.98,99.8606,16.0617
232,Saint George,57.78,32,0,1.01,-113.5841,37.1041
233,Arles,66.49,77,100,13.8,4.6303,43.6768
234,Baoding,64.81,34,100,5.64,115.4903,38.8511
235,San Patricio,67.48,33,2,6.22,-97.5169,28.017
236,Aranos,70.5,13,100,8.21,19.1167,-24.1333
237,Khovd,28.4,44,100,1.25,91.6419,48.0056
238,Jiuquan,45.34,34,0,4.88,98.5174,39.7432
239,Adrar,76.35,17,81,10.2,-10.0711,20.5022
240,Skeldon,77.52,89,97,4.61,-57.1333,5.8833
241,Truth or Consequences,57.33,33,0,3.44,-107.2528,33.1284
242,Shatsk,32.65,84,14,6.2,41.7119,54.0258
243,Comodoro Rivadavia,55.26,58,0,1.14,-67.5,-45.8667
244,Tevriz,33.75,98,100,1.79,72.4042,57.509
245,Nerchinskiy Zavod,32.52,41,0,5.77,119.61,51.3088
246,Grand Haven,57.87,95,100,4.61,-86.2284,43.0631
247,Slave Lake,31.98,86,100,9.22,-114.769,55.2834
248,Sadovoye,44.31,55,99,4.63,44.5089,47.7764
249,Iqaluit,27.7,79,75,23.02,-68.5145,63.7506
250,Barhi,65.16,65,0,3.36,80.8,23.9
251,Luau,65.64,85,94,2.68,22.2247,-10.7073
252,Havre-St-Pierre,50.36,100,100,3.44,-63.5986,50.2334
253,Yerbogachën,28.87,83,100,11.41,108.0108,61.2767
254,Kattivākkam,77.09,63,0,6.17,80.3167,13.2167
255,Mitsamiouli,75.76,78,4,15.93,43.2844,-11.3847
256,San Fernando del Valle de Catamarca,88.84,39,0,15.86,-65.7852,-28.4696
257,Laguna,67.62,43,0,5.75,-121.4238,38.421
258,Saulkrasti,50.79,96,100,9.15,24.4147,57.2622
259,Znamenskoye,33.57,100,100,1.7,73.8282,57.1281
260,Santo Antônio do Içá,74.55,98,100,0.56,-67.9397,-3.1022
261,Butterworth,82.38,83,20,2.3,100.3638,5.3991
262,Mount Gambier,60.71,94,100,14.97,140.7667,-37.8333
263,Rochegda,28.58,94,23,3.58,43.25,62.8
264,Tessalit,74.8,21,9,10.38,1.0114,20.1986
265,Belaya Gora,18.79,94,100,11.23,146.4167,68.5333
266,Kavieng,83.97,73,100,5.14,150.7967,-2.5744
267,Vardø,31.98,86,75,17.27,31.1107,70.3705
268,Maralal,58.53,81,33,6.53,36.698,1.0968
269,Sirte,73.81,68,0,10.47,16.5887,31.2089
270,Grand Gaube,72.37,75,16,5.01,57.6608,-20.0064
271,Asău,54.52,89,43,3.71,26.4,46.4333
272,El Alto,61.14,87,47,13.35,-81.2147,-4.2714
273,George Town,81.32,86,20,2.3,100.3354,5.4112
274,Kargat,30.18,60,100,7.7,80.2811,55.1956
275,Burkburnett,56.07,58,0,3.44,-98.5706,34.0979
276,Concordia,67.78,76,62,9.33,-58.0209,-31.393
277,Zhangye,51.19,35,0,4.12,100.4517,38.9342
278,Encruzilhada do Sul,53.22,97,3,4.68,-52.5219,-30.5439
279,Christchurch,70.0,46,97,4.61,172.6333,-43.5333
280,Mossamedes,67.8,86,27,6.91,12.1522,-15.1961
281,Aksu,50.72,31,100,2.42,80.2644,41.1231
282,Xinqing,40.93,68,100,1.01,129.5,48.2333
283,Rabo de Peixe,60.28,91,20,5.75,-25.5833,37.8
284,Sola,79.99,73,10,0.78,167.55,-13.8833
285,Awallan,81.03,67,94,6.02,121.913,17.9244
286,Buenos Aires,70.45,78,0,12.66,-58.3772,-34.6132
287,Dalianwan,62.64,67,0,13.42,121.695,39.0286
288,Yangi Marg`ilon,57.92,62,75,18.41,71.7189,40.4272
289,Aklavik,4.91,98,86,6.49,-135.0107,68.2191
290,Horadiz,55.27,90,66,2.89,47.3353,39.4488
291,Provideniya,30.31,55,75,17.9,-173.3,64.3833
292,Kirchlinteln,44.89,93,85,5.77,9.3167,52.95
293,Santa Rosa,81.77,77,76,10.98,121.1114,14.3122
294,Sobolevo,44.33,95,100,6.78,31.8996,54.4299
295,Panjāb,35.17,76,4,4.25,67.0233,34.388
296,Rumoi,50.2,45,1,4.34,141.6428,43.9344
297,Mizdah,61.12,53,0,0.67,12.9801,31.4451
298,Glendive,41.88,73,0,10.0,-104.7125,47.1053
299,Ilulissat,26.62,86,100,2.3,-51.1,69.2167
300,Andros Town,78.76,70,9,10.33,-77.7667,24.7
301,Mareeba,96.26,45,0,2.95,145.4333,-17.0
302,Chippewa Falls,38.62,82,0,3.44,-91.3929,44.9369
303,Buraidah,66.65,19,7,8.52,43.975,26.326
304,Namatanai,84.4,69,95,3.71,152.4333,-3.6667
305,Quzhou,62.91,63,100,6.71,118.8686,28.9594
306,Bulgan,22.08,78,6,2.62,103.5347,48.8125
307,The Valley,82.11,79,100,20.87,-63.0578,18.217
308,Forsytheganj,50.9,98,100,6.4,29.7333,52.6333
309,Botoşana,55.42,89,100,5.14,25.95,47.6833
310,Fare,79.79,77,100,21.45,-151.0167,-16.7
311,Oktyabr'skoye,32.14,93,99,4.47,44.7417,43.0645
312,Pimentel,61.74,87,48,13.6,-79.9342,-6.8367
313,Nantucket,64.09,98,100,12.66,-70.0995,41.2835
314,Fes,70.05,26,0,5.75,-4.9998,34.0372
315,Thānesar,65.55,61,0,4.65,76.8167,29.9833
316,Garmsār,61.21,49,0,4.47,52.3409,35.2182
317,Erāttupetta,75.33,83,71,0.81,76.7833,9.7
318,Wanning,77.58,88,93,13.31,110.3967,18.8003
319,Portland,50.02,92,100,11.5,-122.6762,45.5234
320,Grinnell,42.71,87,0,6.91,-92.7224,41.743
321,Kismayo,77.77,85,84,10.92,42.5454,-0.3582
322,Rypin,50.14,94,0,6.93,19.4094,53.066
323,Muroto-misakicho,63.54,49,0,9.55,134.15,33.2833
324,Westport,65.03,91,100,6.91,-73.3579,41.1415
325,Mitú,76.01,83,81,0.69,-70.1733,1.1983
326,Kloulklubed,82.9,78,100,20.15,134.2556,7.0419
327,Tabuk,77.41,76,99,10.45,121.4443,17.4189
328,Grindavik,46.87,76,100,20.71,-22.4338,63.8424
329,Claveria,77.92,80,100,16.55,121.0832,18.6074
330,Arrondissement de Lannion,58.14,91,93,1.01,-3.4167,48.75
331,Dovers,81.84,83,77,16.58,-61.1833,12.8833
332,Mersing,76.91,94,40,3.44,103.8405,2.4312
333,Nísia Floresta,77.38,84,28,6.24,-35.2086,-6.0911
334,Fairbanks,22.06,82,75,8.05,-147.7164,64.8378
335,Richards Bay,70.88,84,98,17.47,32.0377,-28.783
336,Pangnirtung,22.14,75,100,9.42,-65.7125,66.1451
337,Kindersley,33.82,93,75,12.66,-109.1682,51.4668
338,La Unión,64.62,75,49,15.23,-80.75,-5.4
339,Pecos,62.74,27,0,3.44,-103.4932,31.4229
340,Guerrero Negro,68.9,54,0,14.16,-114.0611,27.9769
341,Launceston,67.64,72,75,23.02,147.1667,-41.45
342,Bagdarin,26.01,43,18,2.44,113.6,54.4333
343,Biak,85.44,62,99,5.41,122.8766,-0.9131
344,Tawao,84.33,87,100,5.06,117.8871,4.2498
345,Khasan,50.83,63,57,2.95,130.6434,42.4308
346,Pinawa,29.08,88,51,7.85,-95.8811,50.1489
347,Naze,72.52,57,97,16.8,129.4833,28.3667
348,Arak,54.48,44,5,2.82,49.6892,34.0917
349,Bata,73.26,100,40,0.0,9.7658,1.8639
350,Auki,84.45,71,47,6.93,160.7034,-8.7676
351,Mahanje,62.15,71,100,4.16,35.3333,-9.9333
352,Oruro,53.2,48,47,5.55,-67.15,-17.9833
353,Abidjan,75.16,100,20,2.3,-4.0197,5.3094
354,Bambous Virieux,71.85,83,75,11.5,57.7575,-20.3428
355,Celestún,79.5,85,50,8.77,-90.4,20.8667
356,Gongzhuling,51.71,76,100,19.35,124.8198,43.5008
357,Viking,35.46,73,33,5.1,-111.7684,53.1001
358,Mount Isa,83.97,61,40,9.22,139.5,-20.7333
359,Erdenet,22.37,80,18,3.94,104.0833,49.0333
360,Gao,79.34,23,16,11.27,1.637,16.6362
361,Chapais,58.78,86,100,10.51,-74.8492,49.7834
362,Bhisho,53.17,81,100,3.89,27.4422,-32.8472
363,Saskylakh,-7.28,100,42,3.56,114.0833,71.9167
364,Shahreza,55.42,32,8,3.13,51.8794,32.0339
365,Debre Sīna,51.01,82,9,2.39,39.7667,9.85
366,Anadyr,8.01,84,40,11.18,177.4833,64.75
367,Steinbach am Taunus,52.5,88,0,4.61,8.5667,50.1667
368,Kiruna,23.27,86,100,2.55,20.2251,67.8557
369,Cărbuneşti,54.77,70,71,3.67,26.2,45.2333
370,Verkhnyaya Inta,23.67,96,95,12.86,60.3094,65.9811
371,Mbuji-Mayi,69.87,91,100,1.7,23.6,-6.15
372,Aitape,85.78,67,100,4.65,142.3475,-3.1374
373,Killybegs,58.15,84,96,19.04,-8.45,54.6333
374,Noumea,85.98,78,72,13.91,166.4572,-22.2763
375,Ketchikan,43.27,75,40,5.75,-131.6461,55.3422
376,Ganzhou,72.59,37,83,4.88,115.4327,28.8184
377,Charters Towers,90.5,39,83,9.89,146.2667,-20.1
378,Meadow Lake,51.53,36,0,1.23,-106.5436,34.8014
379,Laas,48.36,92,100,1.28,10.7002,46.6166
380,Qaqortoq,28.11,72,49,5.32,-46.0333,60.7167
381,Sehithwa,76.59,47,100,4.0,22.7167,-20.4667
382,Kaili,79.66,66,86,3.58,120.2147,-3.4626
383,Hīt,70.18,21,75,6.98,42.8251,33.6416
384,Energetik,32.2,79,94,16.98,58.7934,51.7445
385,Sinnamary,79.07,81,58,7.4,-52.95,5.3833
386,Verchères,66.72,85,60,6.91,-73.3492,45.7834
387,Kasongo-Lunda,69.53,99,100,1.39,16.8167,-6.4667
388,Nuevo Progreso,70.29,49,100,4.9,-97.95,23.1667
389,Luba,73.29,89,93,4.76,8.5547,3.4568
390,Katsuura,61.7,64,96,23.55,140.3,35.1333
391,Kysyl-Syr,24.87,88,99,8.52,122.7617,63.8986
392,Jiazi,73.47,63,98,18.3,116.067,22.8779
393,Rayong,83.97,99,100,7.81,101.4333,12.8333
394,Bahía Blanca,61.32,88,0,9.22,-62.2724,-38.7196
395,Tiarei,80.62,82,92,21.0,-149.3333,-17.5333
396,Tashtyp,27.59,52,0,1.7,89.8983,52.7939
397,Severo-Kuril'sk,41.63,62,1,8.93,156.125,50.6789
398,Changchun,51.76,75,100,18.86,125.3228,43.88
399,Andrychów,49.42,95,6,4.65,19.3383,49.855
400,Paita,63.57,83,66,13.06,-81.1144,-5.0892
401,Bilibino,-4.49,95,72,2.51,166.4372,68.0546
402,Voh,80.58,70,11,5.95,164.7,-20.9667
403,Wajid,73.27,79,83,10.27,43.2471,3.8093
404,Norwich,57.9,91,84,10.36,1.2983,52.6278
405,Santarém,82.53,83,40,6.91,-54.7083,-2.4431
406,Faanui,79.63,76,95,22.44,-151.75,-16.4833
407,Vestmanna,45.52,100,100,3.44,-7.1664,62.1564
408,Constitución,54.19,95,45,6.38,-72.4167,-35.3333
409,Abu Dhabi,77.86,75,0,0.0,54.3667,24.4667
410,Thunder Bay,35.51,75,20,6.91,-89.3168,48.4001
411,Nanzhang,56.93,92,100,1.43,111.8386,31.7765
412,San Angelo,57.96,45,0,1.01,-100.437,31.4638
413,Homer,38.28,88,100,4.61,-151.5483,59.6425
414,Mlimba,72.64,84,70,5.55,35.8167,-8.8
415,Ca Mau,83.8,77,100,1.5,105.15,9.1769
416,Rome,66.38,92,100,6.91,-85.1647,34.257
417,Waseca,39.92,78,0,4.61,-93.5074,44.0777
418,Taltal,59.83,75,0,5.3,-70.4833,-25.4
419,Takapau,58.73,57,50,11.01,176.35,-40.0333
420,San Jose,61.36,66,20,10.36,-121.895,37.3394
421,Nikšić,42.66,52,12,4.29,18.9445,42.7731
422,Seddon,62.62,92,75,11.5,144.8916,-37.8068
423,Maple Creek,37.45,81,60,4.61,-109.4848,49.9168
424,Kaeo,63.52,60,37,8.08,173.7833,-35.1
425,Phalombe,74.32,45,4,2.19,35.6507,-15.8064
426,Melito di Porto Salvo,73.45,33,21,12.66,15.7714,37.9222
427,Mut,60.73,38,2,1.97,33.4389,36.6439
428,Ryōtsu-minato,58.35,54,46,9.42,138.4333,38.0833
429,Hofn,42.6,81,100,15.86,-15.2082,64.2539
430,Sémbé,70.45,99,100,0.98,14.5806,1.6481
431,Labuhan,80.83,74,99,11.18,112.2051,-6.8844
432,Karlskrona,50.45,93,46,13.29,15.5866,56.1616
433,Ajdabiya,66.83,88,0,7.87,20.2263,30.7554
434,Piaçabuçu,76.66,84,95,12.15,-36.4344,-10.4056
435,Kuril'sk,45.66,49,5,2.93,147.8833,45.2333
436,Yonezawa,53.89,54,23,2.8,140.1167,37.9167
437,Meulaboh,79.25,83,100,4.03,96.1285,4.1363
438,Bulawayo,69.98,48,1,7.47,28.5833,-20.15
439,Ulaanbaatar,12.33,79,0,0.0,106.8832,47.9077
440,Nishihara,76.3,52,20,16.11,127.7558,26.1842
441,Stendal,44.98,92,59,4.92,11.85,52.6
442,Vostok,47.05,28,10,3.56,135.8833,46.4856
443,Ivanteyevka,30.63,89,58,6.24,37.9208,55.9711
444,Larkana,75.63,24,0,2.17,68.2141,27.5551
445,Valky,51.12,96,100,14.81,35.6207,49.8387
446,Saint-Leu,66.22,66,11,1.57,55.2833,-21.15
447,Flinders,80.19,53,5,7.0,150.8552,-34.5833
448,Blackwater,89.82,22,42,7.83,148.8833,-23.5833
449,Guarujá,69.8,81,23,8.77,-46.2564,-23.9931
450,Puerto Suárez,78.96,50,1,3.78,-57.8,-18.95
